source,target,rep,ratio,baseline,standard,weighted
India,Florida,16,0.2,0.4507874015748031,0.30708661417322836,0.2874015748031496
India,Florida,17,0.05,0.5636942675159236,0.5939490445859873,0.4585987261146497
India,Florida,17,0.1,0.5270700636942676,0.43630573248407645,0.4426751592356688
India,Florida,17,0.2,0.6353503184713376,0.44745222929936307,0.5605095541401274
India,Florida,18,0.05,0.5463576158940397,0.5397350993377483,0.5231788079470199
India,Florida,18,0.1,0.7185430463576159,0.6158940397350994,0.5066225165562914
India,Florida,18,0.2,0.5264900662251656,0.5562913907284768,0.5413907284768212
India,Florida,19,0.05,0.8197969543147208,0.7360406091370558,0.7157360406091371
India,Florida,19,0.1,0.7614213197969543,0.7385786802030457,0.7360406091370558
India,Florida,19,0.2,0.7842639593908629,0.6954314720812182,0.700507614213198
India,California,0,0.05,0.5473684210526316,0.8122807017543859,0.8122807017543859
India,California,0,0.1,0.5570175438596491,0.8035087719298246,0.8350877192982457
India,California,0,0.2,0.6394736842105263,0.8394736842105263,0.8298245614035088
India,California,1,0.05,0.9338422391857506,0.9402035623409669,0.94529262086514
India,California,1,0.1,0.9020356234096693,0.9274809160305344,0.9122137404580153
India,California,1,0.2,0.8002544529262087,0.8142493638676844,0.8078880407124682
India,California,2,0.05,0.9186507936507936,0.9146825396825397,0.9424603174603174
India,California,2,0.1,0.8293650793650794,0.8611111111111112,0.8333333333333334
India,California,2,0.2,0.7003968253968254,0.8928571428571429,0.9246031746031746
India,California,3,0.05,0.7960199004975125,0.8644278606965174,0.8619402985074627
India,California,3,0.1,0.746268656716418,0.8718905472636815,0.8743781094527363
India,California,3,0.2,0.7997512437810945,0.9017412935323383,0.8793532338308457
India,California,4,0.05,0.4149305555555556,0.8159722222222222,0.8298611111111112
India,California,4,0.1,0.6180555555555556,0.8506944444444444,0.7881944444444444
India,California,4,0.2,0.2864583333333333,0.8541666666666666,0.875
India,California,5,0.05,0.5295823665893271,0.8590487238979119,0.8590487238979119
India,California,5,0.1,0.70707656612529,0.814385150812065,0.7993039443155452
India,California,5,0.2,0.6165893271461717,0.845707656612529,0.8097447795823666
India,California,6,0.05,0.5622923588039868,0.8521594684385382,0.845514950166113
India,California,6,0.1,0.5249169435215947,0.8438538205980066,0.8504983388704319
India,California,6,0.2,0.8181063122923588,0.8438538205980066,0.8754152823920266
India,California,7,0.05,0.5176565008025682,0.7784911717495987,0.7520064205457464
India,California,7,0.1,0.5272873194221509,0.7889245585874799,0.8057784911717496
India,California,7,0.2,0.6749598715890851,0.797752808988764,0.8418940609951846
India,California,8,0.05,0.9087982832618026,0.9012875536480687,0.8798283261802575
India,California,8,0.1,0.5,0.8551502145922747,0.8304721030042919
India,California,8,0.2,0.6351931330472103,0.8637339055793991,0.8669527896995708
India,California,9,0.05,0.6920955882352942,0.7996323529411765,0.7977941176470589
India,California,9,0.1,0.6305147058823529,0.8419117647058824,0.8474264705882353
India,California,9,0.2,0.46047794117647056,0.8235294117647058,0.8069852941176471
India,California,10,0.05,0.5795019157088123,0.8160919540229885,0.8160919540229885
India,California,10,0.1,0.7442528735632183,0.8026819923371648,0.7777777777777778
India,California,10,0.2,0.5363984674329502,0.7576628352490421,0.7011494252873564
India,California,11,0.05,0.6509090909090909,0.610909090909091,0.7181818181818181
India,California,11,0.1,0.6290909090909091,0.7236363636363636,0.7090909090909091
India,California,11,0.2,0.7836363636363637,0.8218181818181818,0.7709090909090909
India,California,12,0.05,0.4020061728395062,0.7762345679012346,0.7870370370370371
India,California,12,0.1,0.5339506172839507,0.7785493827160493,0.8078703703703703
India,California,12,0.2,0.48996913580246915,0.7777777777777778,0.7762345679012346
India,California,13,0.05,0.8017142857142857,0.8754285714285714,0.8742857142857143
India,California,13,0.1,0.6257142857142857,0.8502857142857143,0.848
India,California,13,0.2,0.8417142857142857,0.9057142857142857,0.8582857142857143
India,California,14,0.05,0.40795454545454546,0.6420454545454546,0.6375
India,California,14,0.1,0.4784090909090909,0.6613636363636364,0.6477272727272727
India,California,14,0.2,0.41704545454545455,0.6568181818181819,0.6613636363636364
India,California,15,0.05,0.5,0.8724053724053724,0.8724053724053724
India,California,15,0.1,0.39316239316239315,0.8363858363858364,0.8131868131868132
India,California,15,0.2,0.3974358974358974,0.8455433455433455,0.8101343101343101
India,California,16,0.05,0.4092558983666062,0.7704174228675136,0.7867513611615246
India,California,16,0.1,0.3856624319419238,0.8194192377495463,0.7867513611615246
India,California,16,0.2,0.6424682395644283,0.8321234119782214,0.8303085299455535
India,California,17,0.05,0.5905587668593449,0.8723506743737958,0.8723506743737958
India,California,17,0.1,0.5327552986512524,0.8521194605009634,0.8415221579961464
India,California,17,0.2,0.6772639691714836,0.8434489402697495,0.8097302504816956
India,California,18,0.05,0.6079943899018233,0.835203366058906,0.8408134642356241
India,California,18,0.1,0.6451612903225806,0.8253856942496494,0.8113604488078542
India,California,18,0.2,0.4396914446002805,0.8169705469845723,0.8239831697054698
India,California,19,0.05,0.671875,0.8125,0.7989130434782609
India,California,19,0.1,0.704483695652174,0.7975543478260869,0.8016304347826086
India,California,19,0.2,0.6120923913043478,0.7853260869565217,0.7608695652173914
Jordan,India,0,0.05,0.7578253578050457,0.7430053540551238,0.7430209787296098
Jordan,India,0,0.1,0.7630439990833524,0.7534361263307015,0.7509570113122643
Jordan,India,0,0.2,0.7871906314451782,0.7575909876877565,0.7555545717797546
Jordan,India,1,0.05,0.7174118202194173,0.6938788059806384,0.702098795489171
Jordan,India,1,0.1,0.7315288678501778,0.7048107645468715,0.713831418682342
Jordan,India,1,0.2,0.7353803407970001,0.7047354669330529,0.7115812749893956
Jordan,India,2,0.05,0.7372995721400014,0.732438801992004,0.7303584204250544
Jordan,India,2,0.1,0.7453980500806622,0.7243164761169951,0.7268415515185523
Jordan,India,2,0.2,0.7586224310864839,0.7287970821350915,0.7294311566248158
Jordan,India,3,0.05,0.7246388590584354,0.7278259062166073,0.7276193876925618
Jordan,India,3,0.1,0.7691882356389683,0.7546799762303841,0.7534701773927502
Jordan,India,3,0.2,0.7639813040778748,0.7365742973706861,0.7365076784919617
Jordan,India,4,0.05,0.7253249160676403,0.6976684311342711,0.6948917118082016
Jordan,India,4,0.1,0.7557117773063377,0.7202722395007312,0.737327758439579
Jordan,India,4,0.2,0.7652828983955017,0.7289770035632633,0.7351998414038846
Jordan,India,5,0.05,0.7347922292229223,0.7021827182718272,0.7291580119550417
Jordan,India,5,0.1,0.7615179787209491,0.7388455191673013,0.7436964850331187
Jordan,India,5,0.2,0.7610217752544485,0.7444379053289945,0.7478262249301854
Jordan,India,6,0.05,0.7014481567651909,0.7103755878972298,0.7158450450050252
Jordan,India,6,0.1,0.7406283490013382,0.7208744468074474,0.7268839086906064
Jordan,India,6,0.2,0.7578737971358924,0.7474734995085818,0.743589352049797
Jordan,India,7,0.05,0.7274815285051756,0.6858244135263656,0.6858714372204294
Jordan,India,7,0.1,0.7554018468555843,0.716185555496776,0.717236241161015
Jordan,India,7,0.2,0.765647134199745,0.7367907504393777,0.7332492784801942
Jordan,India,8,0.05,0.7261274690427539,0.7153217432083878,0.7116942462510747
Jordan,India,8,0.1,0.755447526211771,0.7338374702709946,0.7312023358903069
Jordan,India,8,0.2,0.7604958742281624,0.7400833528735247,0.7417749751560424
Jordan,India,9,0.05,0.7521413937664682,0.7224793906114861,0.7145430879171084
Jordan,India,9,0.1,0.7631148695050012,0.7454722559845527,0.7366782464276581
Jordan,India,9,0.2,0.7677036730542123,0.7463256527623333,0.7407757003169348
Jordan,India,10,0.05,0.7678834188862238,0.7366624736635128,0.75507522664354
Jordan,India,10,0.1,0.7779948069265287,0.7419011232560623,0.7409505355845333
Jordan,India,10,0.2,0.7840173658043664,0.7452203670570587,0.7428673370263014
Jordan,India,11,0.05,0.7579297622301175,0.7309579119978136,0.7454140475539764
Jordan,India,11,0.1,0.7720073790653184,0.727896966384258,0.7496337797212353
Jordan,India,11,0.2,0.7776455315660017,0.7550409948073245,0.7483615742006012
Jordan,India,12,0.05,0.7468342207260974,0.7347410914260424,0.7347732789721444
Jordan,India,12,0.1,0.745745208749648,0.7256762737550796,0.7248326918176575
Jordan,India,12,0.2,0.7664927645078659,0.74302133766077,0.7337674181564583
Jordan,India,13,0.05,0.7473114535837537,0.7146561640897658,0.7171977839859842
Jordan,India,13,0.1,0.7440707141325208,0.7057235887394401,0.7231653682354613
Jordan,India,13,0.2,0.7590377218172651,0.7163538269135961,0.7233338811162516
Jordan,India,14,0.05,0.7635265331954545,0.742316364067877,0.7403188165025117
Jordan,India,14,0.1,0.7642851492086095,0.736638751857691,0.7440115953821899
Jordan,India,14,0.2,0.7763071646126114,0.7597631196776801,0.746187142235558
Jordan,India,15,0.05,0.7449647408479744,0.72158019126582,0.7146174683599833
Jordan,India,15,0.1,0.7732241560834375,0.7436610295891734,0.7497134851176768
Jordan,India,15,0.2,0.7825393169704546,0.7662682876006229,0.7633551578162356
Jordan,India,16,0.05,0.7557833549349986,0.7213569282431955,0.753389988610031
Jordan,India,16,0.1,0.7759170888810337,0.7405504988020895,0.7467941164918895
Jordan,India,16,0.2,0.7865424079965437,0.7479490691646047,0.7527615765288088
Jordan,India,17,0.05,0.7673475703304686,0.7468732543593483,0.7498262554844259
Jordan,India,17,0.1,0.7786271954094732,0.75429640683229,0.7482055141919766
Jordan,India,17,0.2,0.8003026432769396,0.7738161114272751,0.7711686383937353
Jordan,India,18,0.05,0.7158931590449878,0.7074373221722815,0.6924057255370912
Jordan,India,18,0.1,0.7516391076656632,0.7191494680631727,0.7297147540307616
Jordan,India,18,0.2,0.7737477320522865,0.7453803451404066,0.7443481712094346
Jordan,India,19,0.05,0.7523736110605596,0.6997628988732497,0.7248743000057195
Jordan,India,19,0.1,0.7625388019113678,0.7288896803814416,0.74347711922131
Jordan,India,19,0.2,0.7748878189296132,0.7286297010757944,0.7532627402858733
Jordan,Florida,0,0.05,0.592741935483871,0.6209677419354839,0.6290322580645161
Jordan,Florida,0,0.1,0.5463709677419355,0.5826612903225806,0.5524193548387096
Jordan,Florida,0,0.2,0.3911290322580645,0.4213709677419355,0.4798387096774194
Jordan,Florida,1,0.05,0.41967871485943775,0.5742971887550201,0.6345381526104418
Jordan,Florida,1,0.1,0.6124497991967871,0.7168674698795181,0.6907630522088354
Jordan,Florida,1,0.2,0.4497991967871486,0.6265060240963856,0.6325301204819277
Jordan,Florida,2,0.05,0.47155688622754494,0.2619760479041916,0.2619760479041916
Jordan,Florida,2,0.1,0.5793413173652695,0.34281437125748504,0.4311377245508982
Jordan,Florida,2,0.2,0.44011976047904194,0.405688622754491,0.4251497005988024
Jordan,Florida,3,0.05,0.6166666666666667,0.5481481481481482,0.5518518518518518
Jordan,Florida,3,0.1,0.6092592592592593,0.5777777777777777,0.5666666666666667
Jordan,Florida,3,0.2,0.562962962962963,0.5333333333333333,0.49444444444444446
Jordan,Florida,4,0.05,0.5,0.6546961325966851,0.6546961325966851
Jordan,Florida,4,0.1,0.5082872928176796,0.643646408839779,0.638121546961326
Jordan,Florida,4,0.2,0.3301104972375691,0.5925414364640884,0.6077348066298343
Jordan,Florida,5,0.05,0.6277372262773723,0.6751824817518248,0.6751824817518248
Jordan,Florida,5,0.1,0.791970802919708,0.8321167883211679,0.8248175182481752
Jordan,Florida,5,0.2,0.5437956204379562,0.49635036496350365,0.4744525547445255
Jordan,Florida,6,0.05,0.5523255813953488,0.25290697674418605,0.2005813953488372
Jordan,Florida,6,0.1,0.6947674418604651,0.2005813953488372,0.26744186046511625
Jordan,Florida,6,0.2,0.6686046511627907,0.4127906976744186,0.4941860465116279
Jordan,Florida,7,0.05,0.5163934426229508,0.4453551912568306,0.45081967213114754
Jordan,Florida,7,0.1,0.6939890710382514,0.7049180327868853,0.6721311475409836
Jordan,Florida,7,0.2,0.6502732240437158,0.674863387978142,0.5956284153005464
Jordan,Florida,8,0.05,0.7364864864864865,0.6869369369369369,0.5585585585585585
Jordan,Florida,8,0.1,0.7072072072072072,0.7207207207207207,0.6981981981981982
Jordan,Florida,8,0.2,0.5653153153153153,0.4369369369369369,0.5540540540540541
Jordan,Florida,9,0.05,0.5047770700636943,0.5859872611464968,0.589171974522293
Jordan,Florida,9,0.1,0.6544585987261147,0.5621019108280255,0.5095541401273885
Jordan,Florida,9,0.2,0.6162420382165605,0.5668789808917197,0.589171974522293
Jordan,Florida,10,0.05,0.6076158940397351,0.4271523178807947,0.4304635761589404
Jordan,Florida,10,0.1,0.6125827814569537,0.4205298013245033,0.39403973509933776
Jordan,Florida,10,0.2,0.46192052980132453,0.40894039735099336,0.34602649006622516
Jordan,Florida,11,0.05,0.4939467312348668,0.5169491525423728,0.5169491525423728
Jordan,Florida,11,0.1,0.5447941888619855,0.5242130750605327,0.5169491525423728
Jordan,Florida,11,0.2,0.6537530266343826,0.5617433414043583,0.5290556900726392
Jordan,Florida,12,0.05,0.5082508250825083,0.5363036303630363,0.5396039603960396
Jordan,Florida,12,0.1,0.5,0.5825082508250825,0.6221122112211221
Jordan,Florida,12,0.2,0.6584158415841584,0.6320132013201321,0.7062706270627063
Jordan,Florida,13,0.05,0.5862068965517241,0.34913793103448276,0.35201149425287354
Jordan,Florida,13,0.1,0.6767241379310345,0.44971264367816094,0.41379310344827586
Jordan,Florida,13,0.2,0.7097701149425287,0.5330459770114943,0.4482758620689655
Jordan,Florida,14,0.05,0.6116504854368932,0.6731391585760518,0.6731391585760518
Jordan,Florida,14,0.1,0.5,0.5938511326860841,0.5922330097087378
Jordan,Florida,14,0.2,0.580906148867314,0.5355987055016181,0.5080906148867314
Jordan,Florida,15,0.05,0.6331269349845201,0.5603715170278638,0.5371517027863777
Jordan,Florida,15,0.1,0.6145510835913313,0.5030959752321982,0.46594427244582043
Jordan,Florida,15,0.2,0.3978328173374613,0.42724458204334365,0.5356037151702786
Jordan,Florida,16,0.05,0.38976377952755903,0.39173228346456695,0.3641732283464567
